ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count let7	log2FC count miR1	log2FC count miR155	log2FC count miR16	log2FC count miR30	log2FC median let7	log2FC median miR1	log2FC median miR155	log2FC median miR16	log2FC median miR30
19	IPI:IPI00000001.2;IPI:IPI00218609.2;IPI:IPI00643664.1;IPI:IPI00641873.1;IPI:IPI00645009.1	STAU1;STAU1;STAU1;STAU1;STAU1	ENSP00000360922;ENSP00000379466;ENSP00000323443;ENSP00000353604;ENSP00000360870;ENSP00000345425;ENSP00000360867;ENSP00000360893;ENSP00000360857	NP_059347;NP_004593;NP_059346;NP_059348;NP_001032405	O95793-1;O95793-2;A8K622;Q59F99;A8K9Z4;Q5JW29;Q5JW30;Q5JW28;Q6PJX3	OTTHUMP00000031233;OTTHUMP00000031234;OTTHUMP00000031235;OTTHUMP00000031236;OTTHUMP00000031238;OTTHUMP00000031239;OTTHUMP00000031237	1.15E-44	280.7	6	5	6	0	0	0	3	0				-0.51	
20	IPI:IPI00000005.1;IPI:IPI00796085.1;IPI:IPI00815701.1	NRAS	ENSP00000358548	NP_002515	P01111;Q5U091	OTTHUMP00000013879	0	611.86	12	2	12	17	28	21	44	39	-0.23	0.02	0.14	0.34	0.03
21	IPI:IPI00000015.2	SFRS4	ENSP00000362900	NP_005617	Q08170;A8K644;Q53F45;Q59EF5	OTTHUMP00000003790	3.99E-111	560.5	10	5	5	19	10	16	20	14	0.02	-0.37	-0.02	-0.15	-0.13
22	IPI:IPI00000030.1;IPI:IPI00219543.1;IPI:IPI00219544.1	PPP2R5D;PPP2R5D;PPP2R5D	ENSP00000230402;ENSP00000377669	NP_006236;NP_851307;NP_851308	Q14738-1;Q14738-2;Q14738-3;A8K6Y2;Q59EF0;Q5TC39;A8K3I9	OTTHUMP00000016416	4.91E-47	395.77	10	6	10	11	0	9	9	1	0.24		0.03	-0.03	
23	IPI:IPI00000041.1	RHOB	ENSP00000272233	NP_004031	P62745	OTTHUMP00000115947	0	416.54	8	6	6	3	11	6	10	7	-0.48	0.44	-0.07	0.59	-0.31
24	IPI:IPI00000051.4	PFDN1	ENSP00000261813	NP_002613	O60925	OTTHUMP00000159560	6.77E-30	334.06	7	7	7	5	7	3	6	10	-0.06	-0.44	0.09	0.12	0.09
25	IPI:IPI00000057.1;IPI:IPI00643424.1	COG2;COG2	ENSP00000355629;ENSP00000355628	NP_031383	Q14746;Q5T8Y1;Q86U99	OTTHUMP00000035875;OTTHUMP00000035876	1.09E-17	91.26	2	2	2	0	0	3	0	0			-0.38		
27	IPI:IPI00000070.1;IPI:IPI00792252.1	LDLR;LDLR	ENSP00000252444	NP_000518	P01130;Q59FQ1;Q9UH51;Q6LCH2;Q6RCM4	OTTHUMP00000066976;OTTHUMP00000077177;OTTHUMP00000164996	2.18E-172	502.15	10	10	10	4	36	14	2	13	-0.31	0.61	0.36		-0.3
28	IPI:IPI00000105.4	MVP	ENSP00000349977;ENSP00000378760	NP_005106;NP_059447	Q14764	OTTHUMP00000045913;OTTHUMP00000081249;OTTHUMP00000081250	0	1350.34	33	33	33	2	20	11	3	10		0.34	0.1	0.13	-0.17
30	IPI:IPI00000138.1;IPI:IPI00179044.2	MGAT1	ENSP00000311888;ENSP00000332073;ENSP00000377010	NP_002397	P26572;A8K404;Q59G70;Q6IBE3	OTTHUMP00000161546	6.64E-08	122.53	3	3	3	0	1	4	1	0			-0.08		
31	IPI:IPI00000155.6;IPI:IPI00647648.2;IPI:IPI00647134.2;IPI:IPI00644210.2	N-PAC;N-PAC;N-PAC;N-PAC	ENSP00000322716;ENSP00000371413	NP_115958	Q49A26-1;Q49A26-2;Q49A26-3;Q49A26-4	OTTHUMP00000081258;OTTHUMP00000159924;OTTHUMP00000081260;OTTHUMP00000081259;OTTHUMP00000081261	0	668.42	11	11	11	8	5	12	19	5	0	0.28	0.38	0.37	0.34
32	IPI:IPI00000162.5;IPI:IPI00410360.3;IPI:IPI00871314.1	NGDN;NGDN;NGDN	ENSP00000380344;ENSP00000380340;ENSP00000250392	NP_001036100;NP_056329	Q8NEJ9-1;Q8NEJ9-2;A8K760;A8MT00	OTTHUMP00000027950;OTTHUMP00000066747	5.20E-220	368.2	8	8	8	8	6	5	6	6	-0.15	0.1	-0.14	-0.02	-0.06
33	IPI:IPI00000163.6;IPI:IPI00179328.3;IPI:IPI00549924.1;IPI:IPI00643624.1	CTNNAL1;CTNNAL1;CTNNAL1	ENSP00000323351;ENSP00000363722;ENSP00000320434;ENSP00000363723	NP_003789	Q9UBT7-3;Q9UBT7-1;Q9UBT7-2;Q5JTQ9	OTTHUMP00000021874;OTTHUMP00000021872;OTTHUMP00000021873	2.77E-08	69.06	3	3	3	0	0	0	0	0					
34	IPI:IPI00101258.1;IPI:IPI00000181.2	MRPS24;MRPS24	ENSP00000318158;ENSP00000083014	NP_114403	Q96EL2;A4D1U9;A6NI76	OTTHUMP00000024793;OTTHUMP00000159213	2.55E-32	190.46	4	4	4	3	6	7	0	13	-0.43	0.14	-0.12		-0.03
35	IPI:IPI00657752.1;IPI:IPI00000190.1;IPI:IPI00555750.1	CD81;CD81	ENSP00000370424;ENSP00000263645	NP_004347	P60033;A6NMH8	OTTHUMP00000011529;OTTHUMP00000011528	5.96E-236	235.81	4	4	4	2	14	3	20	19		0.05	-0.22	0.16	0.04
36	IPI:IPI00479433.2;IPI:IPI00000279.2	ZC3H15;ZC3H15	ENSP00000354104;ENSP00000338788	NP_060941	Q5QTQ4;Q9NZ37;Q8WU90;Q8WZ06;Q9NUZ3;Q9P079		1.62E-204	536.8	10	10	10	25	5	26	24	19	-0.03	0.05	-0.05	-0.08	-0.19
