ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count	log2FC median
4134	IPI:IPI00419579.4	CYP20A1;UNQ667/PRO1301	ENSG00000119004	NP_803882	Q4ZG61;Q567U3;Q658T6;Q6UW02;Q8N4Q8;Q8WWA9	OTTHUMP00000163753	3.32E-19	154.99	3	1	3	3	3.96
3425	IPI:IPI00298447.3	TARBP1;TRM3;TRP185	ENSG00000059588	NP_005637	Q13395	OTTHUMP00000036048	1.73E-05	64.84	2	2	2	4	2.58
2974	IPI:IPI00219036.5	DICER1;DICER;HERNA;KIAA0928	ENSG00000100697	NP_085124;NP_803187	Q9UPY3;A7E2D3;Q5D0K4;Q5D0K5;Q9UFF3	OTTHUMP00000028446	7.99E-47	103.38	3	3	3	3	2.14
2223	IPI:IPI00062866.3;IPI:IPI00477731.1	ZC3HAV1L	ENSG00000146858	NP_542391	Q96H79		2.02E-06	93.54	3	3	3	12	1.96
569	IPI:IPI00008557.5	IGF2BP1;CRDBP;VICKZ1;ZBP1	ENSG00000159217	NP_006537	Q9NZI8	OTTHUMP00000174828;OTTHUMP00000181632	6.07E-263	671.29	15	14	14	46	1.79
410	IPI:IPI00006442.1	COIL;CLN80	ENSG00000121058	NP_004636	P38432	OTTHUMP00000182053	4.35E-51	212.18	4	4	4	9	0.99
1465	IPI:IPI00022229.1	APOB	ENSG00000084674	NP_000375	P04114;A8K479;P78482;Q13789;Q13828;Q4ZG63;Q53QC8;Q59HB3;Q7Z7Q0;Q9UE51;Q9UE52;Q9UE53	OTTHUMP00000115994	4.63E-10	171.52	4	4	4	4	0.97
3803	IPI:IPI00009507.1;IPI:IPI00335277.1	SYPL;SYPL1;hCG_16932;tcag7.98	ENSG00000008282;ENSG00000008282	NP_006745;NP_874384	Q16563-1;Q16563-2;A4D0R1;A8K865;A4D0R2	OTTHUMP00000024554	7.75E-14	96.58	2	2	2	20	0.9
1018	IPI:IPI00014850.4;IPI:IPI00643342.1;IPI:IPI00552198.1	PEA15	ENSG00000162734;ENSG00000162734	NP_003759	Q15121;Q5JW80;Q5JW79;Q6FHL9;Q5JW81	OTTHUMP00000029886;OTTHUMP00000029887;OTTHUMP00000029888	1.62E-24	154.64	3	3	3	5	0.7
3874	IPI:IPI00383597.2;IPI:IPI00477139.1	SLC4A2	ENSG00000164889;ENSG00000164889	NP_003031	P04920-1;P04920-2;Q59GF1;Q99654;Q9UEY4;Q9UEY5;Q9UEY6;Q6PJY3;Q8TAG3	OTTHUMP00000025330	9.99E-26	134.41	4	4	4	7	0.69
3983	IPI:IPI00397949.3;IPI:IPI00412420.5;IPI:IPI00442012.3	GPR56;hCG_1811664;TM7LN4;TM7XN1;UNQ540/PRO1083	ENSG00000205336;ENSG00000205336;ENSG00000205336	NP_958932;NP_958933;NP_005673	Q9Y653;A6NIT7;A6NJV9;Q6ZMP1	OTTHUMP00000080698;OTTHUMP00000080700;OTTHUMP00000080701;OTTHUMP00000080702;OTTHUMP00000080699;OTTHUMP00000108215	4.85E-16	147.37	3	3	3	16	0.69
4228	IPI:IPI00456888.3	MGC3196;hCG_2039995	ENSG00000168569	NP_001073970;XP_943417	A0PJW6;Q504S0;Q86YD4;Q8WUC5;Q96HG0		5.31E-06	83.76	2	2	2	5	0.69
3747	IPI:IPI00329599.3	PHLDA3;TIH1	ENSG00000174307	NP_036528	Q9Y5J5	OTTHUMP00000033919;OTTHUMP00000033920	1.37E-09	85.31	2	2	2	3	0.64
3406	IPI:IPI00297714.2	SNCG;BCSG1;PERSYN;PRSN	ENSG00000173267	NP_003078	O76070;Q6FHG5	OTTHUMP00000020013	4.14E-88	142.4	3	3	3	17	0.63
45	IPI:IPI00000692.2;IPI:IPI00644062.1	CLIC3;RP11-229P13.3-003	ENSG00000169583;ENSG00000169583	NP_004660	O95833;Q5SPZ7;Q6FGP1;Q5SQ17	OTTHUMP00000022630;OTTHUMP00000022631;OTTHUMP00000022632	5.60E-64	258.53	6	6	6	18	0.63
796	IPI:IPI00011735.2	IFRD1	ENSG00000006652	NP_001007246;NP_001541	O00458;A4D0U1;Q75M98;Q75M99;Q75MS4	OTTHUMP00000024911	9.57E-70	214.58	4	4	4	13	0.63
1775	IPI:IPI00027120.1	CDC34;UBE2R1	ENSG00000099804	NP_004350	P49427;A8K689	OTTHUMP00000066359;OTTHUMP00000076236	4.55E-10	71.85	2	2	2	5	0.62
4057	IPI:IPI00412243.3	KIAA1609	ENSG00000140950	NP_065998	A8K5C2;Q6P9B6;Q8IZ64;Q9HCG3;Q9NTE8	OTTHUMP00000080896;OTTHUMP00000107489	2.66E-39	102.96	2	2	2	5	0.62
2656	IPI:IPI00173346.3	PGM2L1;BM32A	ENSG00000165434	NP_775853	Q6PCE3		4.48E-12	107.71	3	3	3	3	0.6
3442	IPI:IPI00298947.5;IPI:IPI00414000.5;IPI:IPI00554507.2			NP_002393;NP_803490;NP_803491	Q5EB52-1;Q5EB52-2;Q5EB52-3	OTTHUMP00000025157;OTTHUMP00000043687;OTTHUMP00000043688;OTTHUMP00000043689	3.20E-23	133.36	4	4	4	8	0.6
3816	IPI:IPI00337494.7;IPI:IPI00412742.1	SLC25A24;APC1;MCSC1;SCAMC1	ENSG00000085491;ENSG00000085491	NP_037518;NP_998816	Q6NUK1;Q6PJJ9;Q9P129;Q5T331;Q705K4	OTTHUMP00000012674;OTTHUMP00000012675	0	1070.97	24	24	24	54	0.59
4290	IPI:IPI00853420.1;IPI:IPI00874254.1;IPI:IPI00759749.4;IPI:IPI00787348.2;IPI:IPI00470744.1;IPI:IPI00787604.1;IPI:IPI00787855.1	PARG;RP11-507K13.2-002	ENSG00000204155;ENSG00000214982	XP_001124642;NP_003622;XP_942709;XP_001128865	Q86W56-1;Q86W56-2;Q86W56-3;A5YBK3;A8MSV7;Q0MQR4;Q5SQP4;Q5SQP5	OTTHUMP00000019589;OTTHUMP00000019590	5.72E-14	68.74	2	2	2	4	0.59
4562	IPI:IPI00658000.2;IPI:IPI00165467.9;IPI:IPI00843931.1			NP_006538	O00425-1	OTTHUMP00000158561	1.12E-238	734.64	17	15	17	50	0.55
2604	IPI:IPI00170706.2	TMEM2;KIAA1412	ENSG00000135048	NP_037522	Q9UHN6;A6H8W9	OTTHUMP00000021450	9.48E-24	127.68	3	3	3	4	0.54
4596	IPI:IPI00743955.4;IPI:IPI00816121.3;IPI:IPI00845273.1	DKFZp666G166;DKFZp686O0457;DKFZp686F1969	ENSG00000106608;ENSG00000106608;ENSG00000106608	NP_001071132;NP_060390;NP_001071131	Q658M4;Q9NWR7;Q9P221;Q68DH6;Q8TCY9;Q8WV98;Q6MZZ5	OTTHUMP00000024782	1.91E-10	68.18	2	2	2	5	0.53
80	IPI:IPI00001543.1	TIMM10;TIM10	ENSG00000134809	NP_036588	P62072;A8K136		1.16E-10	95.72	3	3	3	6	0.53
2216	IPI:IPI00062264.4;IPI:IPI00102059.2;IPI:IPI00787009.1;IPI:IPI00788043.1;IPI:IPI00788089.1;IPI:IPI00186969.2	SCYL1;hCG_2018795	ENSG00000142186	NP_065731;NP_001041683	Q96KG9-4;Q96KG9-1;Q96KG9-2;Q96KG9-3;Q96KG9-5;Q96KG9-6;A6NJF1		1.12E-130	279.6	6	6	6	6	0.5
1004	IPI:IPI00014474.1	AKAP8;AKAP95	ENSG00000105127	NP_005849	O43823;Q8NE02;Q9UG73	OTTHUMP00000067542;OTTHUMP00000076084	4.29E-25	158.96	4	4	4	5	0.48
461	IPI:IPI00007061.1;IPI:IPI00791523.1;IPI:IPI00790482.1;IPI:IPI00792074.1	GOLT1B;GOT1A;CGI-141;HDCMA39P;UNQ432/PRO793	ENSG00000111711	NP_057156	Q9Y3E0	OTTHUMP00000166885;OTTHUMP00000166886	2.89E-77	258.17	5	5	5	6	0.48
1269	IPI:IPI00019195.2;IPI:IPI00655699.2;IPI:IPI00478641.1	RPP38;RP11-455B2.5;RP11-455B2.5-005	ENSG00000152464;ENSG00000152464	NP_001091059;NP_006405;NP_892117	P78345;Q5VUC3	OTTHUMP00000019200;OTTHUMP00000019201;OTTHUMP00000019202;OTTHUMP00000019204	5.45E-16	208.53	4	4	4	4	0.47
4166	IPI:IPI00853265.1;IPI:IPI00431749.2;IPI:IPI00375843.2;IPI:IPI00797471.3	KRT80;KB20	ENSG00000167767;ENSG00000167767;ENSG00000167767	NP_872313;NP_001074961	Q6KB66;Q6P1A5;Q7Z3Q0	OTTHUMP00000196566;OTTHUMP00000167628;OTTHUMP00000196565;OTTHUMP00000167630;OTTHUMP00000167629	2.49E-147	429.26	8	6	6	12	0.47
2851	IPI:IPI00221307.1;IPI:IPI00216675.1;IPI:IPI00647486.1;IPI:IPI00514222.1;IPI:IPI00216674.1	CASP7;RP11-211N11.6-001;hCG_1781464;RP11-211N11.6-004	ENSG00000165806;ENSG00000165806;ENSG00000165806	NP_001218;NP_203125;NP_203124	P55210-1;P55210-3;Q5SVL0;Q53YD5;Q5SVL2	OTTHUMP00000020510;OTTHUMP00000020511;OTTHUMP00000020514;OTTHUMP00000020513	1.09E-10	74.69	3	3	3	3	0.46
17	IPI:IPI00000070.1;IPI:IPI00792252.1	LDLR;ldlr	ENSG00000130164;ENSG00000130164	NP_000518	P01130;Q59FQ1;Q9UH51;Q6LCH2;Q6RCM4	OTTHUMP00000066976;OTTHUMP00000077177;OTTHUMP00000164996	1.35E-75	291.77	6	6	6	17	0.45
3443	IPI:IPI00298949.1;IPI:IPI00787531.1;IPI:IPI00784139.1;IPI:IPI00384168.1	GAK	ENSG00000178950	NP_005246;XP_001127411	O14976;Q59HA5;Q5U4P5	OTTHUMP00000147520	2.18E-103	150.98	4	4	4	4	0.45
4275	IPI:IPI00470475.3	PLCXD3	ENSG00000182836	NP_001005473	Q63HM9		4.80E-54	177.11	4	4	4	3	0.45
1967	IPI:IPI00872071.1;IPI:IPI00446834.2;IPI:IPI00030730.2;IPI:IPI00867577.1	ST1A5;SULT1A3	ENSG00000213599;ENSG00000213648;ENSG00000213599;ENSG00000213648	NP_001017387;NP_001017389;NP_001017390;NP_001017391;NP_003157;NP_808220	P50224-1;P50224-2;Q1ET61;Q1ET64;Q1ET62;Q1ET63;Q1ET65;Q1ET66;Q2TAB3		8.77E-06	40.11	2	2	2	3	0.44
2820	IPI:IPI00216048.9;IPI:IPI00791944.1	PITPNA;PITPN	ENSG00000174238	NP_006215	Q00169;Q05CD4;Q6NUL6	OTTHUMP00000182983	1.93E-120	187.18	5	4	4	9	0.44
2925	IPI:IPI00218086.2	RDH10;UNQ9375/PRO34191	ENSG00000121039	NP_742034	Q8IZV5	OTTHUMP00000177605	4.75E-13	107.84	3	3	3	4	0.44
4391	IPI:IPI00550239.4	H1F0;H1FV	ENSG00000189060	NP_005309	P07305	OTTHUMP00000028818	6.76E-57	102.39	2	2	2	4	0.44
2495	IPI:IPI00160021.2;IPI:IPI00455153.2;IPI:IPI00472265.1	NFU1;HIRIP5;CGI-33	ENSG00000169599;ENSG00000169599;ENSG00000169599	NP_056515;NP_001002755;NP_001002756;NP_001002757	Q9UMS0;Q53QE5;Q7Z5B1;Q6VNZ8;Q7Z2Y4;Q7Z5B2;A8MTV2		1.55E-06	44.46	2	2	2	3	0.43
3128	IPI:IPI00290110.5;IPI:IPI00240675.2;IPI:IPI00647084.1	PDCD4;H731	ENSG00000150593	NP_055271;NP_663314	Q53EL6	OTTHUMP00000020483	1.66E-13	148.67	5	5	5	9	0.43
3541	IPI:IPI00301923.4;IPI:IPI00552413.2			NP_001252	P50750-1;P50750-2	OTTHUMP00000022198;OTTHUMP00000022199	4.88E-25	295.55	7	7	7	9	0.43
