Reference,Gene,Peptide,Measurement,Culture_Protein,25%,75%,Culture_mRNA ,s.e.m.,Sorted_Progenitor_mRNA,Sorted_Neutrophil_mRNA,neut_dev_mRNA,tp8mer,tp7m8,tp7A1,orf8mer,orf7m8,orf7A1,fp8mer,fp7m8,fp7A1
NM_153555,Wdr42a,6,13,0.085 ,0.038 ,0.144 ,0.247 ,0.029 ,-0.100 ,0.170 ,-0.279 ,0,0,0,0,0,0,0,0,0
NM_008132,Glrp1,-,-,-,-,-,0.397 ,0.100 ,-0.798 ,-0.050 ,-2.770 ,0,0,0,0,0,0,0,0,0
NM_172658,Slco4c1,-,-,-,-,-,-0.149 ,0.050 ,-0.343 ,0.049 ,3.526 ,0,0,0,0,0,1,0,0,0
NM_010164,Eya1,-,-,-,-,-,0.121 ,0.050 ,0.059 ,-0.073 ,-0.195 ,0,0,0,0,0,0,0,0,0
NM_001038619,Dnm3,2,13,0.075 ,-0.053 ,0.179 ,0.052 ,0.090 ,0.265 ,-0.168 ,-0.295 ,0,0,0,0,0,0,0,0,0
NM_173870,Mgat4a,-,-,-,-,-,0.252 ,0.087 ,-0.119 ,0.306 ,-0.043 ,0,0,0,0,0,0,0,0,0
NM_009084,Rpl37a,4,34,-0.009 ,-0.058 ,0.107 ,0.044 ,0.020 ,-0.021 ,0.079 ,-0.189 ,0,0,0,0,0,0,0,0,0
NM_144878,Fmo4,-,-,-,-,-,-0.007 ,0.077 ,0.021 ,-0.127 ,0.244 ,0,0,0,0,0,0,0,0,0
NM_026454,Ube2f,-,-,-,-,-,0.082 ,0.065 ,0.023 ,0.221 ,0.705 ,0,0,0,0,0,0,0,0,0
NM_207225,Hdac4,-,-,-,-,-,0.060 ,0.055 ,-0.319 ,0.124 ,1.335 ,0,0,0,0,0,0,0,0,0
NM_177084,Slc9a4,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_024282,5830417c01rik,-,-,-,-,-,0.172 ,0.050 ,-0.093 ,0.116 ,-0.837 ,0,0,0,0,0,0,0,0,0
NM_001039484,Kcnj10,-,-,-,-,-,0.193 ,0.206 ,-0.131 ,0.298 ,0.357 ,0,0,1,0,0,0,0,0,0
NM_009118,Sag,-,-,-,-,-,0.010 ,0.044 ,-0.105 ,0.125 ,0.848 ,0,0,0,0,0,0,0,0,0
NM_020604,Jph1,-,-,-,-,-,-0.223 ,0.064 ,-0.142 ,-0.004 ,0.400 ,0,0,0,0,0,0,0,0,0
NM_001039123,Defb18,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_022881,Rgs18,-,-,-,-,-,0.304 ,0.099 ,-0.035 ,0.147 ,0.620 ,0,0,0,0,0,0,0,0,0
NM_145512,Sft2d2,-,-,-,-,-,0.396 ,0.029 ,0.185 ,0.307 ,1.419 ,1,0,0,0,0,0,0,0,0
NM_144960,Fcamr,-,-,-,-,-,-0.013 ,0.183 ,-0.075 ,0.045 ,0.244 ,0,0,0,0,0,1,0,0,0
NM_011785,Akt3,-,-,-,-,-,0.344 ,0.112 ,0.344 ,-0.027 ,-0.318 ,0,0,1,0,0,0,0,0,0
NM_178241,Il8ra,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_028450,Gulp1,-,-,-,-,-,0.071 ,0.165 ,0.106 ,-0.237 ,-0.458 ,0,0,0,1,0,0,0,0,0
NM_001081210,Mrpl44,-,-,-,-,-,0.121 ,0.037 ,-0.043 ,0.120 ,-1.118 ,0,0,0,0,0,0,0,0,0
NM_018817,Smarcal1,2,2,-0.351 ,-0.435 ,-0.268 ,0.009 ,0.013 ,-0.116 ,0.023 ,-0.273 ,0,0,0,0,0,0,0,0,0
NM_009049,Resp18,-,-,-,-,-,-0.028 ,0.116 ,0.100 ,-0.023 ,0.233 ,0,0,0,0,0,0,0,0,0
NM_023884,Ralgps2,-,-,-,-,-,-0.126 ,0.056 ,-0.623 ,0.286 ,-0.672 ,0,1,0,0,0,0,0,0,0
NM_001033284,Bc026585,-,-,-,-,-,0.059 ,0.196 ,-0.197 ,-0.127 ,-0.704 ,0,0,0,0,0,0,0,0,0
NM_010184,Fcer1a,-,-,-,-,-,-0.155 ,0.283 ,0.000 ,0.167 ,-3.210 ,0,0,0,0,0,0,0,0,0
NM_207583,6430517e21rik,-,-,-,-,-,-0.060 ,0.123 ,-0.222 ,0.050 ,0.371 ,0,1,0,0,0,0,0,0,0
NM_010877,Ncf2,29,393,-0.058 ,-0.309 ,0.082 ,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_008696,Map4k4,-,-,-,-,-,0.135 ,0.022 ,0.145 ,0.101 ,1.846 ,0,0,0,0,0,0,0,0,0
NM_009062,Rgs4,-,-,-,-,-,0.024 ,0.115 ,0.008 ,0.079 ,0.227 ,0,0,2,0,0,0,0,0,0
NM_144814,Rcor3,-,-,-,-,-,0.203 ,0.077 ,0.192 ,0.224 ,-0.014 ,0,0,0,0,0,0,0,0,0
NM_010863,Myo1b,-,-,-,-,-,0.297 ,0.030 ,0.138 ,-0.113 ,-0.247 ,0,0,0,0,0,0,0,0,0
NM_009803,Nr1i3,-,-,-,-,-,-0.219 ,0.118 ,0.267 ,-0.012 ,-0.019 ,0,0,0,0,0,0,0,0,0
NM_172406,Trak2,-,-,-,-,-,0.115 ,0.040 ,0.102 ,0.243 ,1.170 ,0,1,0,0,0,0,0,0,0
NM_019445,Fmn2,-,-,-,-,-,-0.067 ,0.043 ,0.059 ,0.201 ,0.209 ,0,0,1,0,0,0,0,0,0
NM_021342,Kcne4,-,-,-,-,-,0.003 ,0.062 ,0.014 ,0.042 ,0.218 ,0,0,0,0,0,0,0,0,0
NM_183019,Arhgef4,-,-,-,-,-,0.504 ,0.098 ,-0.372 ,0.237 ,3.025 ,0,0,0,0,0,0,0,0,0
NM_028320,Adipor1,-,-,-,-,-,0.162 ,0.087 ,-0.139 ,0.047 ,1.843 ,0,0,0,0,0,0,0,0,0
NM_001033250,Lemd1,-,-,-,-,-,0.059 ,0.075 ,-0.027 ,-0.168 ,-0.005 ,0,0,0,0,0,0,0,1,0
NM_007737,Col5a2,-,-,-,-,-,-0.062 ,0.037 ,-0.004 ,-0.299 ,0.025 ,0,0,0,0,0,0,0,0,0
NM_025388,Ufc1,6,22,-0.008 ,-0.016 ,0.010 ,0.029 ,0.045 ,0.062 ,0.136 ,-0.615 ,0,0,0,0,0,0,0,0,0
NM_016851,Irf6,-,-,-,-,-,0.041 ,0.085 ,-0.046 ,-0.177 ,-0.148 ,0,0,0,0,0,0,0,0,0
NM_198303,Eif5b,27,85,-0.032 ,-0.178 ,0.086 ,-0.287 ,0.037 ,0.085 ,-0.293 ,-1.605 ,0,0,1,0,0,0,0,0,0
NM_213616,Atp2b4,7,16,1.816 ,1.025 ,1.949 ,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_133748,Insig2,-,-,-,-,-,0.076 ,0.091 ,0.100 ,0.058 ,0.587 ,0,0,1,0,0,0,0,0,0
NM_031162,Cd247,-,-,-,-,-,0.043 ,0.106 ,-0.123 ,0.050 ,0.208 ,0,0,0,0,0,0,0,0,0
NM_001037742,1110034b05rik,-,-,-,-,-,-0.108 ,0.139 ,0.082 ,0.162 ,-0.573 ,0,0,0,0,0,0,0,0,0
NM_181750,R3hdm1,-,-,-,-,-,-0.218 ,0.062 ,-0.103 ,0.030 ,-1.126 ,0,0,0,0,0,0,0,0,0
NM_007570,Btg2,-,-,-,-,-,0.284 ,0.134 ,0.061 ,-0.193 ,2.202 ,0,0,0,0,0,0,0,0,0
NM_001081197,Apobec4,-,-,-,-,-,-0.059 ,0.107 ,0.070 ,0.119 ,0.281 ,0,0,0,0,0,0,0,0,0
NM_028889,Efhd1,-,-,-,-,-,-0.075 ,0.139 ,-0.123 ,-0.284 ,0.501 ,0,0,0,0,0,0,0,0,0
NM_027077,1700016c15rik,-,-,-,-,-,0.020 ,0.113 ,0.153 ,0.053 ,0.105 ,0,0,0,0,0,0,0,0,0
NM_172054,Txndc9,5,7,-0.149 ,-0.581 ,-0.094 ,-0.161 ,0.046 ,0.022 ,-0.094 ,-0.280 ,0,0,0,0,0,0,0,0,0
NM_178081,2210010l05rik,-,-,-,-,-,0.553 ,0.156 ,-0.037 ,0.325 ,3.532 ,0,0,0,1,0,0,0,0,0
NM_175686,Prrx1,-,-,-,-,-,-0.066 ,0.068 ,-0.052 ,-0.043 ,-0.014 ,0,0,0,0,0,0,0,0,0
NM_016894,Ramp1,2,2,0.914 ,0.546 ,1.282 ,0.242 ,0.053 ,-0.138 ,0.444 ,0.038 ,0,0,0,0,0,0,0,0,0
NM_001101647,Prlh,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_008985,Ptprn,-,-,-,-,-,0.019 ,0.120 ,-0.124 ,-0.060 ,0.473 ,0,0,0,0,0,0,0,0,0
NM_011210,Ptprc,53,502,0.117 ,-0.143 ,0.185 ,-0.065 ,0.014 ,-0.228 ,-0.174 ,1.533 ,0,0,0,0,1,1,0,0,0
NM_145991,Cdc73,-,-,-,-,-,-0.232 ,0.085 ,0.158 ,-0.065 ,-0.413 ,0,0,0,0,0,0,0,0,0
NM_153154,Tcfap2d,-,-,-,-,-,0.092 ,0.135 ,0.091 ,-0.267 ,0.225 ,0,0,0,0,0,0,0,0,0
NM_175642,Bai3,-,-,-,-,-,0.138 ,0.125 ,-0.141 ,-0.055 ,0.143 ,0,0,1,0,1,0,0,0,0
NM_031402,Crispld1,-,-,-,-,-,-0.201 ,0.098 ,0.164 ,0.032 ,0.022 ,0,0,1,0,0,0,0,0,0
NM_028718,Traf3ip1,-,-,-,-,-,-0.265 ,0.148 ,-0.168 ,-0.190 ,-1.803 ,0,0,0,0,0,0,0,0,0
NM_027279,2810422o20rik,-,-,-,-,-,-0.200 ,0.079 ,0.022 ,-0.226 ,-1.815 ,0,0,0,0,0,0,0,0,0
NM_172656,Als2cr2,-,-,-,-,-,0.002 ,0.059 ,-0.170 ,-0.158 ,1.054 ,0,0,0,0,0,0,0,0,0
NM_033563,Klf7,-,-,-,-,-,0.006 ,0.025 ,-0.633 ,0.086 ,2.851 ,0,0,0,0,0,0,0,0,1
NM_172652,4632411b12rik,-,-,-,-,-,0.031 ,0.060 ,0.016 ,0.193 ,-0.123 ,0,0,0,0,0,0,0,0,0
NM_080419,Igsf8,-,-,-,-,-,0.067 ,0.117 ,0.452 ,-0.078 ,-0.941 ,0,0,0,0,0,0,0,0,0
NM_199007,Sgol2,-,-,-,-,-,-0.048 ,0.065 ,-0.279 ,-0.159 ,-0.404 ,0,0,0,0,0,1,0,0,0
NM_145977,Slc45a3,-,-,-,-,-,0.097 ,0.111 ,-0.027 ,0.043 ,-1.718 ,0,0,0,0,0,0,0,0,0
NM_144880,Ppp2r5a,11,41,-0.065 ,-0.260 ,0.055 ,0.004 ,0.037 ,-0.173 ,-0.111 ,1.381 ,0,0,0,0,0,0,0,0,0
NM_007768,Crp,-,-,-,-,-,-0.042 ,0.289 ,-0.008 ,-0.268 ,0.062 ,0,0,0,0,0,0,0,0,0
NM_025819,1200016b10rik,-,-,-,-,-,0.232 ,0.013 ,-0.035 ,0.068 ,0.309 ,0,0,0,0,0,0,0,0,0
NM_013862,Rabgap1l,-,-,-,-,-,0.066 ,0.076 ,-0.248 ,0.147 ,0.469 ,0,0,0,0,0,0,0,0,0
NM_001033290,Gpr55,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001081082,Alpi,-,-,-,-,-,0.024 ,0.018 ,0.077 ,-0.157 ,-0.038 ,0,1,0,0,0,0,0,0,0
NM_025784,Bcs1l,2,2,0.007 ,-0.287 ,0.300 ,0.102 ,0.034 ,-0.010 ,0.073 ,-0.932 ,0,0,0,0,0,0,0,0,0
NM_007415,Parp1,1,4,0.454 ,0.397 ,0.901 ,-0.002 ,0.067 ,0.330 ,0.232 ,-2.650 ,0,0,0,1,0,0,0,0,0
NM_183027,Ap1s3,-,-,-,-,-,0.512 ,0.084 ,0.223 ,0.395 ,-0.278 ,0,0,1,0,0,0,0,0,0
NM_025683,Rpe,5,24,0.525 ,0.462 ,0.754 ,0.195 ,0.264 ,-0.186 ,0.173 ,0.119 ,0,0,1,0,0,0,0,0,0
NM_173437,Nav1,-,-,-,-,-,0.499 ,0.215 ,-0.011 ,0.438 ,-0.378 ,0,0,0,0,0,0,0,0,0
NM_011459,Serpinb8,-,-,-,-,-,-0.351 ,0.187 ,-0.188 ,-0.099 ,1.134 ,0,0,1,1,0,0,0,0,0
NM_027430,Brp44,6,38,0.188 ,0.130 ,0.289 ,0.096 ,0.024 ,0.039 ,0.032 ,0.804 ,0,0,0,0,0,0,0,0,0
NM_153088,Ctdsp1,-,-,-,-,-,-0.031 ,0.080 ,-0.222 ,-0.258 ,1.376 ,0,0,0,0,0,0,0,0,0
NM_009107,Rxrg,1,2,0.036 ,-0.034 ,0.106 ,-0.054 ,0.059 ,-0.224 ,0.053 ,0.210 ,0,0,0,0,0,0,0,0,1
NM_028333,Angptl1,-,-,-,-,-,0.044 ,0.120 ,-0.079 ,-0.095 ,0.500 ,0,0,0,0,0,0,0,0,0
NM_008342,Igfbp2,-,-,-,-,-,0.103 ,0.059 ,0.007 ,0.046 ,0.314 ,0,0,0,0,0,0,0,0,0
NM_009352,Terf1,2,11,-0.215 ,-0.469 ,-0.180 ,-0.437 ,0.069 ,-0.147 ,-0.390 ,-1.156 ,0,0,0,0,0,0,0,0,0
NM_145381,Lactb2,7,23,0.396 ,0.360 ,0.503 ,0.071 ,0.109 ,-0.198 ,0.285 ,-0.755 ,0,0,0,0,0,0,0,0,0
NM_001039219,Eg619597,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_008510,Xcl1,-,-,-,-,-,0.060 ,0.025 ,0.165 ,0.117 ,0.362 ,0,0,0,0,0,0,0,0,0
NM_177723,Vsig8,-,-,-,-,-,-0.197 ,0.051 ,0.063 ,-0.015 ,0.319 ,0,0,0,0,0,0,0,0,0
NM_021607,Ncstn,13,145,-0.063 ,-0.171 ,0.068 ,-0.013 ,0.052 ,-0.054 ,-0.085 ,0.219 ,0,0,0,0,0,0,0,0,0
NM_033608,Igsf9,-,-,-,-,-,0.071 ,0.041 ,0.170 ,-0.172 ,0.049 ,0,0,0,0,0,0,0,0,0
NM_028713,Rftn2,-,-,-,-,-,0.011 ,0.074 ,0.098 ,-0.146 ,0.002 ,0,0,0,0,0,0,0,0,0
NM_027671,Sntg1,-,-,-,-,-,0.093 ,0.024 ,0.107 ,0.047 ,0.262 ,0,0,0,0,0,0,0,0,0
NM_028173,Tram1,5,94,0.148 ,0.094 ,0.217 ,0.009 ,0.033 ,-0.021 ,0.027 ,-0.270 ,0,0,0,0,0,0,0,0,0
NM_178055,Dnajb10,-,-,-,-,-,-0.021 ,0.050 ,-0.082 ,-0.311 ,0.245 ,0,0,0,0,0,0,0,0,0
NM_031179,Sf3b1,4,29,-0.065 ,-0.206 ,0.065 ,-0.127 ,0.043 ,0.012 ,0.034 ,0.268 ,0,0,0,0,0,0,0,0,0
NM_053191,Pi15,-,-,-,-,-,0.027 ,0.069 ,0.133 ,-0.179 ,0.198 ,0,0,0,0,0,1,0,0,0
NM_001081011,Srgap2,5,7,0.093 ,-0.169 ,0.125 ,-0.073 ,0.109 ,0.057 ,-0.141 ,0.271 ,0,0,1,0,0,1,0,0,0
NM_178405,Atp1a2,-,-,-,-,-,0.080 ,0.168 ,-0.080 ,0.025 ,0.228 ,0,0,0,0,0,0,0,0,0
NM_001013817,Sp140,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_007525,Bard1,-,-,-,-,-,-0.219 ,0.062 ,0.447 ,0.001 ,-0.419 ,0,0,1,0,0,0,0,0,0
NM_009307,Syt2,-,-,-,-,-,0.066 ,0.033 ,0.051 ,0.075 ,0.325 ,0,0,0,0,0,0,0,0,0
NM_028250,Acbd6,-,-,-,-,-,0.083 ,0.016 ,0.147 ,0.225 ,-1.704 ,0,0,0,0,0,0,0,0,0
NM_001081361,Mosc1,-,-,-,-,-,0.196 ,0.150 ,-0.121 ,-0.330 ,-0.035 ,0,0,1,0,0,0,0,0,0
NM_008515,Lrrfip1,29,200,-0.037 ,-0.269 ,0.158 ,-0.067 ,0.073 ,-0.215 ,0.080 ,1.741 ,0,0,0,0,0,0,0,0,0
NM_153179,Pkhd1,-,-,-,-,-,-0.047 ,0.016 ,-0.116 ,-0.020 ,0.164 ,0,0,0,0,1,1,0,0,0
