Reference,Gene,Peptide,Protein,miR-17/20a_6mer,miR-17/20a_7mer-A1,miR-17/20a_7mer-m8,miR-17/20a_8mer,miR-18a_6mer,miR-18a_7mer-A1,miR-18a_7mer-m8,miR-18a_8mer,miR-19a/b_6mer,miR-19a/b_7mer-A1,miR-19a/b_7mer-m8,miR-19a/b_8mer,miR-92a_6mer,miR-92a_7mer-A1,miR-92a_7mer-m8,miR-92a_8mer
NM_001299,CNN1,3,-2.71989887,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000602,SERPINE1,5,-1.931916346,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
NM_022128,RBKS,2,-1.892502271,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_000393,COL5A2,2,-1.650768353,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_000422,KRT17,2,-1.534771317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005731,ITGB4,6,-1.493312177,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_014629,ARHGEF10,3,-1.410151062,1,1,1,1,0,0,0,0,0,0,0,0,3,1,1,1
NM_015927,TGFB1I1,4,-1.353233921,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
NM_020964,KIAA1632,7,-1.277485789,1,0,1,0,0,0,0,0,4,2,2,1,3,1,2,1
NM_053026,MYLK,11,-1.274885314,2,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0
AL832211.1,MYLK,11,-1.274885314,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_024513,FYCO1,7,-1.263981133,5,1,3,1,3,0,0,0,1,0,0,0,1,0,0,0
NM_006472,TXNIP,3,-1.253465068,3,1,2,1,1,1,0,0,1,0,0,0,1,0,0,0
NM_001001330,REEP3,2,-1.251719873,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_000138,FBN1,2,-1.251279449,4,0,0,0,0,0,0,0,1,1,0,0,2,2,2,2
NM_033157,CALD1,5,-1.183696194,2,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0
NM_002314,LIMK1,2,-1.150795219,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_144497,AKAP12,11,-1.150300774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_033520,C19ORF33,2,-1.136125338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003246,THBS1,2,-1.0451249,1,0,0,0,1,0,1,0,2,1,1,1,0,0,0,0
NM_022089,ATP13A2,4,-1.02279211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001113546,LIMA1,11,-1.015992001,2,1,2,1,0,0,0,0,0,0,0,0,2,1,0,0
NM_000885,ITGA4,2,-0.988735578,3,3,1,1,1,0,0,0,1,1,1,1,0,0,0,0
AK124630.1,ITGA4,2,-0.988735578,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_002024,FMR1,4,-0.972490479,1,0,0,0,0,0,0,0,3,2,1,1,2,1,1,1
NM_022763,FNDC3B,5,-0.972303253,2,2,1,1,1,0,1,0,1,1,0,0,2,1,2,1
BC012204.1,FNDC3B,5,-0.972303253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006745,SC4MOL,2,-0.965767626,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
NM_021913,AXL,2,-0.965132648,1,0,0,0,5,0,0,0,0,0,0,0,5,1,3,0
NM_201555,FHL2,2,-0.965077928,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
NM_001280,CIRBP,2,-0.946504923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002583,PAWR,2,-0.934590371,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_020733,HEG1,2,-0.929922603,4,1,3,1,2,0,2,0,2,0,1,0,2,1,0,0
NM_000820,GAS6,2,-0.919310959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_013321,SNX8,3,-0.907134424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK055226.1,KIAA1486,2,-0.889185364,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
NM_020864,KIAA1486,2,-0.889185364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016081,PALLD,11,-0.878337835,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1
NM_002230,JUP,13,-0.869490189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006486,FBLN1,3,-0.858141488,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
NM_006485,FBLN1,3,-0.858141488,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NM_001996,FBLN1,3,-0.858141488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
