Reference,Gene,Peptide,Measurement,Protein,25%,75%,mRNA,Error,tp8mer,tp7m8,tp7A1,orf8mer,orf7m8,orf7A1,fp8mer,fp7m8,fp7A1
NM_001010883,FAM102B,-,-,-,-,-,-0.580 ,0.211 ,1,0,0,0,0,0,0,0,0
NM_001010985,MYBPHL,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_032132,HORMAD1,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_144977,DENND1B,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_032890,DISP1,-,-,-,-,-,-0.425 ,0.208 ,0,0,0,0,0,0,0,0,0
NM_207108,ASTN1,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001012959,DISC1,-,-,-,-,-,0.079 ,0.450 ,0,0,0,0,0,0,0,0,0
NM_012316,KPNA6,3,6,-0.271 ,-0.314 ,-0.166 ,0.218 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_198149,TMEM58,-,-,-,-,-,-0.194 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_176782,FAM151A,-,-,-,-,-,-0.003 ,0.237 ,0,0,0,0,1,0,0,0,0
NM_006135,CAPZA1,9,27,-0.008 ,-0.085 ,0.027 ,0.230 ,0.205 ,1,0,0,0,0,0,0,0,0
NM_024522,NKAIN1,-,-,-,-,-,0.447 ,0.208 ,0,0,0,0,0,0,0,0,0
NM_152489,UBE2U,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_017739,POMGNT1,-,-,-,-,-,-0.217 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_006099,PIAS3,-,-,-,-,-,0.172 ,0.207 ,0,1,0,0,0,0,0,0,0
NM_024836,ZNF672,-,-,-,-,-,0.042 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_025179,PLXNA2,-,-,-,-,-,0.529 ,0.514 ,0,0,0,0,0,0,0,0,0
NM_153763,KCNC4,-,-,-,-,-,-0.013 ,0.208 ,0,0,0,0,0,0,0,0,0
