Protein IDs,Protein Names,Gene Names,Protein Descriptions,Uniprot,Uniprot Name,"Peptides 
sequenced",PEP,"miR-34 
seeds","miR-34a and ca
*strand seeds","miR-34c and ac
*strand seeds","Ratio H/M 
Count
miR-34a","Ratio H/M 
Count
miR-34a
Replicate1","Ratio H/M 
Count
miR-34a
Replicate2","Ratio H/M 
Count
miR-34c","Ratio H/M 
Count
miR-34c
Replicate1","Ratio H/M 
Count
miR-34ac","Ratio H/M 
Count
miR-34ca","Ratio H/M 
Normalized
miR-34a","Ratio H/M 
Normalized
miR-34a
Replicate1","Ratio H/M 
Normalized
miR-34a
Replicate2","Ratio H/M 
Normalized
miR-34c","Ratio H/M 
Normalized
miR-34c
Replicate1","Ratio H/M 
Normalized
miR-34ac","Ratio H/M 
Normalized
miR-34ca","Log2 Ratio H/M
Normalized
miR-34a","Log2 Ratio H/M
Normalized
miR-34a
Replicate1","Log2 Ratio H/M
Normalized
miR-34a
Replicate2","Log2 Ratio H/M
Normalized
miR-34c","Log2 Ratio H/M
Normalized
miR-34c
Replicate1","Log2 Ratio H/M
Normalized
miR-34ac","Log2 Ratio H/M
Normalized
miR-34ca"
IPI:IPI00000001.2;IPI:IPI00218609.2;IPI:IPI00643664.1;IPI:IPI00641873.1;IPI:IPI00645009.1;IPI:IPI00553038.1,"Double-stranded RNA-binding protein Staufen homolog 1;Staufen protein T4 variant;Staufen protein T5 variant;Staufen, RNA binding protein, homolog 1 (Drosophila);cDNA FLJ57073, highly similar to Double-stranded RNA-binding protein Staufenhomolog 1",STAU1;STAU;RP3-470L14.2-006;RP3-470L14.2-007,"Isoform Long of Double-stranded RNA-binding protein Staufen homolog 1;Isoform Short of Double-stranded RNA-binding protein Staufen homolog 1;staufen isoform c;Staufen, RNA binding protein, homolog 1",O95793-1;O95793;A8K622;Q59F99;O95793-2;A8K9Z4;B3KRE0;Q5JW29;B4DPJ9;Q5JW30,STAU1_HUMAN;Q5JW29_HUMAN;B4DPJ9_HUMAN,20,3.20E-158,0,1,0,5,0,0,4,0,0,0,1.0625,NA,NA,0.99963,NA,NA,NA,-0.087462841,NA,NA,0.000533896,NA,NA,NA
IPI:IPI00000005.1,GTPase NRas;Transforming protein N-Ras,NRAS;HRAS1,GTPase NRas,P01111;Q5U091,RASN_HUMAN,14,1.17E-262,0,1,1,12,3,4,15,15,10,10,1.054,0.89514,0.93166,1.0413,1.4291,0.98277,1.0173,-0.075874867,0.159814757,0.102124541,-0.058385771,-0.515106871,0.025074276,-0.02474519
IPI:IPI00000015.2;IPI:IPI00908618.1,"Splicing factor, arginine/serine-rich 4;Pre-mRNA-splicing factor SRP75;SRP001LB",SFRS4;SRP75,"Splicing factor, arginine/serine-rich 4",Q08170;A8K644;Q53F45;Q59EF5,SFRS4_HUMAN,13,5.29E-131,0,0,0,6,2,3,1,3,0,0,1.0043,0.87546,1.2927,NA,0.83404,NA,NA,-0.006190289,0.191886832,-0.370387504,NA,0.261811519,NA,NA
IPI:IPI00000030.1;IPI:IPI00219543.1;IPI:IPI00219544.1;IPI:IPI00878338.1,"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform;PP2A, B subunit, B' delta isoform;PP2A, B subunit, B56 delta isoform;PP2A, B subunit, PR61 delta isoform;PP2A, B subunit, R5 delta isoform",PPP2R5D,Isoform Delta-1 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform;Isoform Delta-2 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform;Isoform Delta-3 of Serine/threonine-protein phosphatase 2A,Q14738-1;Q14738;A8K6Y2;B4DSD7;Q59EF0;Q14738-2;A8K3I9;Q14738-3,2A5D_HUMAN,27,0,1,0,0,48,16,2,12,0,11,13,1.019,0.93802,0.48429,1.0922,NA,0.90202,1.0348,-0.027154052,0.092309411,1.046056882,-0.127237062,NA,0.148768673,-0.049351959
IPI:IPI00000041.1;IPI:IPI00893313.1,Rho-related GTP-binding protein RhoB;H6,RHOB;ARH6;ARHB,Rho-related GTP-binding protein RhoB,P62745;B2R692;B4DMJ8,RHOB_HUMAN,9,0,0,0,0,7,0,1,1,0,0,2,0.85295,NA,NA,NA,NA,NA,0.74433,0.229466922,NA,NA,NA,NA,NA,0.42598571
IPI:IPI00000051.4,Prefoldin subunit 1,PFDN1;PFD1,Prefoldin subunit 1,O60925;B2RD02,PFD1_HUMAN,14,9.21E-44,0,0,0,15,7,4,8,12,13,18,0.97005,0.96739,0.93183,1.1592,1.2936,1.0946,0.93033,0.043868984,0.04783047,0.101861317,-0.2131295,-0.371391584,-0.130403762,0.104185545
IPI:IPI00000057.1;IPI:IPI00643424.1;IPI:IPI00922762.1,"Conserved oligomeric Golgi complex subunit 2;Component of oligomeric Golgi complex 2;Low density lipoprotein receptor defect C-complementing protein;Component of oligomeric golgi complex 2;Component of oligomeric golgi complex 2, isoform CRA_b;cDNA FLJ53111, highly similar to Conserved oligomeric Golgi complex component 2",COG2;LDLC;RP11-543E8.3-002;hCG_15926,"Conserved oligomeric Golgi complex subunit 2;component of oligomeric golgi complex 2 isoform 2;cDNA FLJ53111, highly similar to Conserved oligomeric Golgi complex component 2",Q14746;B1ALW7;B7Z2Y2;B7Z819;Q86U99;B7Z7N2,COG2_HUMAN;Q86U99_HUMAN;B7Z7N2_HUMAN,8,2.11E-132,0,0,1,7,0,0,0,0,0,0,0.8224,NA,NA,NA,NA,NA,NA,0.28208783,NA,NA,NA,NA,NA,NA
IPI:IPI00000070.1;IPI:IPI00908663.1,"Low-density lipoprotein receptor;cDNA FLJ50552, highly similar to Low-density lipoprotein receptor",LDLR;ldlr,"Low-density lipoprotein receptor;cDNA FLJ50622, highly similar to Low-density lipoprotein receptor",P01130;B4DII3;B4DTQ3;C0JYY8;Q59FQ1;Q6RCM4;Q9UH51;B4DJZ8;B4DR00;Q6LCH2,LDLR_HUMAN;B4DJZ8_HUMAN,12,1.50E-205,1,0,0,13,1,0,5,0,0,0,0.82492,NA,NA,1.1814,NA,NA,NA,0.27767388,NA,NA,-0.240497517,NA,NA,NA
IPI:IPI00000104.1;IPI:IPI00219610.1;IPI:IPI00219611.2;IPI:IPI00219612.1,mRNA-capping enzyme;HCE;HCAP1;Polynucleotide 5'-triphosphatase;mRNA 5'-triphosphatase;mRNA guanylyltransferase;GTP--RNA guanylyltransferase,RNGTT;CAP1A,Isoform 1 of mRNA-capping enzyme;Isoform 2 of mRNA-capping enzyme;RNA guanylyltransferase and 5'-phosphatase;Isoform 4 of mRNA-capping enzyme,O60942-1;O60942;B2R623;B4DIQ0;O60942-2;B4DSJ8;Q7Z3R6;O60942-3;Q5TCW7;O60942-4,MCE1_HUMAN,8,8.64E-23,0,0,0,4,1,0,0,0,0,0,0.89367,NA,NA,NA,NA,NA,NA,0.1621859,NA,NA,NA,NA,NA,NA
IPI:IPI00000105.4;IPI:IPI00910019.2;REV_IPI:IPI00455573.4;REV_IPI:IPI00926292.1,"Major vault protein;Lung resistance-related protein;cDNA FLJ53437, highly similar to Major vault protein",MVP;LRP,"Major vault protein;cDNA FLJ53437, highly similar to Major vault protein",Q14764;B4DDR2;B4DXN0;B4DP93,MVP_HUMAN;B4DP93_HUMAN,34,0,0,0,0,27,12,2,27,1,0,4,1.0914,1.144,0.77835,1.3711,NA,NA,1.2713,-0.126179949,-0.194087052,0.361509058,-0.455333797,NA,NA,-0.346304516
